Lot Frontage,Lot Area,Street,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Mas Vnr Area,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Central Air,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,TotRms AbvGrd,Fireplaces,Garage Yr Blt,Garage Cars,Garage Area,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Misc Val,Mo Sold,Yr Sold,SalePrice
60,6756,1,5,6,1910,1950,0,0,481,481,0,899,0,0,899,0,0,1,0,2,1,5,0,1930,1,200,0,0,96,0,0,0,0,9,2008,78000
80,10000,1,5,5,2002,2002,166,0,856,1441,1,1392,0,0,1392,0,0,2,0,3,1,6,1,2002,3,650,168,49,0,0,0,0,0,12,2007,215000
71,9353,1,4,5,1970,1970,0,0,864,864,1,864,0,0,864,0,0,1,0,3,1,5,0,1972,1,280,0,0,0,0,0,0,0,7,2006,116050
57,6420,1,5,7,1952,1952,0,551,219,980,1,1148,0,0,1148,0,1,1,0,2,1,6,0,1952,1,308,0,0,0,0,0,0,0,9,2006,123500
57,9245,1,5,5,1994,1995,0,0,304,990,1,990,0,0,990,0,1,1,0,3,1,5,0,1996,2,672,0,0,0,0,0,0,0,2,2008,145000
76,12436,1,5,5,1957,1957,0,0,1824,1824,1,1824,0,0,1824,0,0,2,0,5,2,9,0,1958,2,484,0,0,0,0,0,0,0,1,2008,146000
83,10184,1,6,5,1963,1963,379,0,503,1083,1,1146,0,0,1146,0,1,1,0,3,1,6,1,1963,1,294,345,75,0,0,0,0,0,6,2006,165000
43,3182,1,7,5,2005,2006,16,0,1330,1346,1,1504,0,0,1504,0,0,2,0,1,1,7,1,2005,2,457,156,0,0,0,0,0,0,5,2009,181000
60,8850,1,6,7,1920,1950,0,0,768,768,1,752,624,0,1376,0,0,1,0,3,1,7,0,1977,2,576,0,54,144,0,0,0,0,2,2007,165000
44,3811,1,8,5,2004,2005,186,0,221,1594,1,1646,0,0,1646,1,1,2,0,2,1,5,1,2004,2,525,128,53,0,0,155,0,0,5,2010,246000
82,16052,1,10,5,2006,2006,734,0,644,1850,1,1850,848,0,2698,1,0,2,1,4,1,11,1,2006,3,736,250,0,0,0,0,0,0,7,2006,535000
80,9200,1,6,5,1965,1965,98,0,548,1042,1,1042,0,0,1042,0,0,2,0,3,1,5,0,1965,2,440,192,0,0,0,0,0,0,5,2007,161000
41,12460,1,7,5,1999,2000,0,0,167,1037,1,1037,1285,0,2322,0,0,2,1,4,1,8,1,1999,2,400,144,44,0,0,0,0,0,5,2008,225000
70,7931,1,5,5,1959,1959,0,0,0,1148,1,1148,0,0,1148,1,0,1,0,3,1,6,0,1959,1,672,0,0,0,0,0,0,0,7,2009,132500
110,14226,1,8,5,2006,2006,375,0,1935,1935,1,1973,0,0,1973,0,0,2,0,3,1,9,1,2006,3,895,315,45,0,0,0,0,0,7,2007,395000
124,18600,1,3,4,1938,1990,0,684,0,972,1,1052,558,0,1610,0,1,2,0,4,1,8,1,1938,1,480,0,0,60,0,0,0,450,6,2010,124000
56,7745,1,4,6,1900,1950,0,0,938,938,0,1084,867,0,1951,0,0,2,0,4,2,9,0,1993,2,576,0,6,28,0,0,0,0,4,2006,111500
56,9576,1,6,7,1945,1950,0,0,460,770,1,885,297,0,1182,0,0,1,1,3,1,5,0,1945,1,378,0,0,0,0,0,0,0,5,2006,120000
65,8139,1,6,5,1995,1996,119,0,204,680,1,680,790,0,1470,0,0,2,1,3,1,7,1,1995,2,420,192,49,0,0,0,0,0,10,2008,165000
70,9800,1,5,7,1972,1972,0,0,0,894,1,894,0,0,894,1,0,1,0,3,1,5,0,1975,2,552,256,0,0,0,0,0,0,7,2006,149900
60,8064,1,6,5,1950,1950,0,0,174,795,0,765,368,0,1133,0,0,1,0,3,1,5,0,1989,2,900,0,0,0,0,231,0,0,12,2009,128500
85,14115,1,5,5,1993,1995,0,0,64,796,1,796,566,0,1362,1,0,1,1,1,1,5,0,1993,2,480,40,30,0,320,0,0,700,10,2009,143000
96,13132,1,5,5,1914,1950,0,0,747,747,1,892,892,0,1784,0,0,1,1,4,1,9,0,1914,1,180,203,40,0,0,0,0,0,7,2006,138887
21,1680,1,6,3,1971,1971,604,0,125,483,1,483,504,0,987,0,0,1,1,2,1,5,0,1971,1,264,0,0,0,0,0,0,0,8,2008,89500
76,10141,1,8,5,2004,2004,264,774,222,1512,1,1512,0,0,1512,0,0,2,0,3,1,6,0,2004,3,845,210,36,0,0,0,0,0,1,2009,203000
70,8680,1,5,7,1960,1960,0,0,894,894,1,894,0,0,894,0,0,1,0,3,1,5,0,1965,1,312,0,0,0,0,0,0,0,1,2007,117600
134,17755,1,5,4,1959,1959,132,0,1290,1466,1,1466,0,0,1466,0,0,1,1,3,1,6,2,1959,2,528,0,140,0,0,100,0,0,11,2006,149900
58,6380,1,5,6,1922,1950,0,0,993,993,1,1048,0,0,1048,0,0,1,0,2,1,5,1,1922,1,280,0,0,116,0,0,0,0,8,2006,113000
85,11049,1,8,5,2007,2007,0,0,1234,1234,1,1234,0,0,1234,0,0,2,0,3,1,7,0,2007,2,484,0,30,0,0,0,0,0,1,2008,179900
60,7200,1,5,8,1940,1950,279,0,808,808,1,1072,0,0,1072,0,0,1,0,2,1,5,2,1940,2,379,0,0,0,0,0,0,0,5,2007,130000
57,8013,1,8,5,1995,1996,0,0,846,1587,1,1734,0,0,1734,1,0,2,0,2,1,6,0,1995,2,528,52,50,0,0,0,0,0,9,2009,239500
90,9900,1,5,5,1961,1961,0,0,1114,1114,1,1114,0,0,1114,1,0,1,0,3,1,5,0,1961,2,451,0,0,0,0,164,0,0,5,2008,140000
78,10530,1,7,6,1993,1993,194,0,329,1148,1,1091,984,0,2075,1,0,2,1,3,1,8,1,1993,2,473,235,86,0,0,0,0,0,8,2007,255000
60,10800,1,4,7,1885,1995,0,0,641,641,1,1047,0,0,1047,0,0,1,0,2,1,6,0,1954,1,273,0,0,0,0,0,0,450,8,2007,100000
68,50271,1,9,5,1981,1987,0,0,32,1842,1,1842,0,0,1842,2,0,0,1,0,1,5,1,1981,3,894,857,72,0,0,0,0,0,11,2006,385000
60,11556,1,5,9,1953,2006,0,0,456,864,1,1154,0,0,1154,0,0,1,1,3,1,6,0,1962,1,336,63,0,0,0,0,0,0,7,2007,142000
101,13543,1,8,5,2005,2005,130,0,1152,1168,1,1168,1332,0,2500,0,0,3,1,5,1,9,1,2005,3,683,192,32,0,0,0,0,0,7,2008,355000
50,5220,1,5,3,1936,1950,0,0,830,830,1,879,0,0,879,0,0,1,0,2,1,4,0,1936,1,180,0,108,0,0,0,0,0,1,2006,80000
65,8450,1,7,5,2003,2003,196,0,150,856,1,856,854,0,1710,1,0,2,1,3,1,8,0,2003,2,548,0,61,0,0,0,0,0,2,2008,208500
21,1680,1,6,5,1972,1972,504,0,207,483,1,483,465,0,948,0,0,1,1,2,1,5,0,1972,1,264,0,0,0,0,0,0,0,7,2006,89000
85,16056,1,9,5,2005,2006,208,0,1752,1992,1,1992,876,0,2868,0,0,3,1,4,1,11,1,2005,3,716,214,108,0,0,0,0,0,7,2006,556581
80,9600,1,7,6,1973,1973,320,0,326,1242,1,1242,0,0,1242,0,0,1,1,3,1,6,1,1973,2,528,0,0,0,0,0,0,0,9,2007,175500
79,11526,1,6,7,1922,1994,0,0,588,588,1,1423,748,384,2555,0,0,2,0,3,1,11,1,1993,2,672,431,0,0,0,0,0,0,9,2008,191000
60,9000,1,6,3,1928,1950,0,0,784,784,0,784,0,0,784,0,0,1,0,2,1,5,0,1950,2,360,0,0,91,0,0,0,0,10,2009,76000
59,11796,1,7,5,2004,2005,0,0,847,847,1,847,1112,0,1959,0,0,2,1,4,1,8,1,2004,2,434,100,48,0,0,0,0,0,7,2007,215000
65,10237,1,6,5,2005,2006,0,0,728,728,1,728,728,0,1456,0,0,2,1,3,1,8,1,2005,2,390,0,24,0,0,0,0,0,2,2006,170440
60,7200,1,6,5,1954,1954,0,0,181,854,1,854,424,0,1278,0,0,1,0,4,1,6,0,1954,1,240,0,0,0,0,0,0,0,4,2008,127500
100,10004,1,6,6,1964,1964,180,345,975,1516,1,1516,0,0,1516,0,0,1,1,3,1,6,0,1964,2,472,0,0,0,0,152,0,0,2,2009,167000
80,9600,1,5,6,1960,1960,203,0,638,1296,1,1496,0,0,1496,0,0,2,0,3,1,6,0,1960,2,450,0,22,0,0,0,0,0,2,2008,141500
141,31770,1,6,5,1960,1960,112,0,441,1080,1,1656,0,0,1656,1,0,1,0,3,1,7,2,1960,2,528,210,62,0,0,0,0,0,5,2010,215000
144,21384,1,5,6,1923,2004,0,0,15,1324,1,1072,504,0,1576,2,0,1,1,3,1,6,1,1923,2,528,0,312,0,0,0,0,0,5,2009,223500
85,15428,1,5,6,1951,1991,0,0,143,884,1,884,0,0,884,1,0,1,0,2,1,4,0,1951,1,270,0,0,0,0,195,0,0,6,2006,142000
80,8000,1,6,6,1970,1970,525,0,93,1008,1,1403,1008,0,2411,1,0,2,1,4,1,8,1,1970,2,570,0,192,0,0,0,0,0,6,2007,240050
36,3951,1,10,5,1998,1999,0,842,0,970,1,1469,924,0,2393,1,0,2,1,2,1,7,1,1998,2,846,0,90,0,0,94,0,0,2,2008,345000
48,12137,1,7,5,1998,1998,442,0,1649,1649,1,1661,0,0,1661,0,0,2,0,3,1,6,0,1998,2,598,0,34,0,0,0,0,0,5,2010,224900
60,8190,1,4,6,1954,1954,0,0,216,948,1,948,0,0,948,1,0,1,0,3,1,5,1,1956,1,280,0,36,0,0,0,0,0,10,2007,119000
34,5063,1,7,5,2007,2008,166,0,410,1314,1,1314,0,0,1314,1,0,2,0,2,1,6,1,2008,2,626,172,62,0,0,0,0,0,4,2009,207500
74,9056,1,8,5,2004,2004,0,0,707,707,1,707,707,0,1414,0,0,2,1,3,1,6,1,2004,2,403,100,35,0,0,0,0,0,10,2006,178000
63,8375,1,5,7,1941,1973,0,0,240,576,1,864,486,0,1350,1,0,1,1,2,1,6,0,1973,3,627,0,0,0,0,0,0,0,6,2008,152400
50,9000,1,2,3,1949,1950,0,0,430,480,0,480,0,0,480,1,0,0,0,1,1,4,0,1958,1,308,0,0,0,0,0,0,0,10,2006,35311
59,10936,1,7,5,2006,2006,0,0,1510,1510,1,1525,0,0,1525,0,0,2,1,3,1,6,1,2006,2,534,100,18,0,0,0,0,0,4,2007,206580
70,8810,1,7,5,2003,2003,0,0,390,1390,1,1390,0,0,1390,1,0,2,0,3,1,7,0,2003,2,545,0,68,0,0,0,0,0,3,2006,207000
62,6710,1,6,5,1996,1997,134,904,0,920,1,936,0,0,936,2,0,0,1,0,1,3,0,1996,2,460,0,40,0,0,0,0,0,6,2007,140000
60,6060,1,5,9,1930,2007,0,0,100,837,1,1001,0,0,1001,0,0,1,0,2,1,5,0,1930,1,216,154,0,42,86,0,0,0,11,2007,124900
75,9157,1,7,5,2003,2003,0,0,912,912,1,1072,942,0,2014,0,0,2,1,3,1,9,0,2003,2,486,124,114,0,0,0,0,0,2,2009,170000
93,10261,1,6,5,2000,2000,318,0,936,936,1,962,830,0,1792,1,0,2,1,3,1,8,1,2000,2,451,0,0,0,0,0,0,0,5,2008,186500
42,7614,1,3,5,1905,1950,0,0,738,738,1,714,662,0,1376,0,0,1,0,2,1,7,0,1930,1,216,0,0,104,0,225,0,0,3,2006,96900
60,6402,1,5,5,1920,1950,0,0,596,596,0,596,596,0,1192,0,0,1,0,3,1,6,0,1920,1,189,0,0,137,0,0,0,0,7,2009,78000
74,13101,1,5,5,1965,1965,108,0,1497,1728,1,1728,0,0,1728,0,0,2,0,6,2,10,0,1987,2,576,0,0,0,0,0,0,0,11,2008,142600
76,10612,1,8,5,2006,2006,248,0,1496,1524,1,1534,0,0,1534,0,0,2,0,3,1,7,1,2006,2,484,168,46,0,0,0,0,0,1,2007,215000
103,13125,1,7,5,1991,1991,0,634,422,1104,1,912,1215,0,2127,1,0,2,1,4,1,8,1,1991,3,833,72,192,224,0,0,0,0,11,2007,238000
24,2160,1,7,5,1999,2000,212,0,90,600,1,624,628,0,1252,1,0,2,1,2,1,4,0,1999,2,462,0,48,0,0,0,0,0,3,2008,160000
76,7570,1,6,5,1964,1964,420,0,780,780,1,993,813,0,1806,0,0,1,1,4,1,8,0,1964,2,483,0,55,0,0,0,0,0,3,2009,144750
48,6240,1,8,5,2006,2006,176,0,1300,1324,1,1324,0,0,1324,0,0,2,0,2,1,6,1,2006,2,550,0,38,0,0,0,0,0,9,2007,221370
80,13600,1,5,6,1955,1955,0,912,0,1056,1,1056,0,0,1056,1,0,1,1,3,1,6,0,1955,1,300,0,0,0,0,0,0,650,11,2006,125000
64,7018,1,5,5,1979,1979,0,0,0,0,1,1120,1120,0,2240,0,0,2,0,6,2,12,0,1979,2,528,154,0,0,0,0,0,0,6,2009,142953
54,6629,1,6,6,1925,1950,0,0,121,672,0,697,672,0,1369,1,0,2,0,3,1,6,0,1930,1,300,147,0,0,0,0,0,0,7,2009,103600
64,7360,1,7,5,2010,2010,80,0,1198,1222,1,1222,0,0,1222,0,0,2,0,2,1,6,0,2009,2,615,0,54,0,0,0,0,0,3,2010,187000
57,12853,1,8,5,2010,2010,0,0,610,1642,1,1418,0,0,1418,1,0,1,1,1,1,6,1,2010,3,852,160,192,0,224,0,0,0,4,2010,267916
80,10240,1,8,5,2005,2005,178,0,1030,1030,1,1038,1060,0,2098,0,0,2,1,3,1,8,1,2005,3,878,192,52,0,0,0,0,0,3,2006,275500
80,12435,1,7,5,2001,2001,172,0,602,963,1,963,829,0,1792,0,0,2,1,3,1,7,1,2001,2,564,0,96,0,245,0,0,0,5,2008,231500
69,11737,1,6,7,1924,1996,0,0,848,848,0,1017,810,0,1827,0,0,1,0,2,1,9,1,1943,1,240,27,36,42,0,0,0,0,5,2006,202500
74,8847,1,8,5,2005,2005,148,0,769,1538,1,1538,0,0,1538,1,0,2,0,3,1,7,0,2005,2,484,146,40,0,0,0,0,0,12,2007,260000
60,8967,1,5,2,1920,1950,0,0,961,961,1,1077,0,0,1077,0,0,1,0,2,1,6,0,1920,1,338,0,0,0,0,0,0,0,11,2007,67000
61,7740,1,9,5,2006,2006,518,0,663,1686,1,1686,0,0,1686,1,0,2,0,1,1,6,1,2006,3,899,266,100,0,0,0,0,0,6,2006,332200
75,9803,1,7,5,2005,2005,0,0,466,866,1,866,902,0,1768,0,0,2,1,3,1,7,0,2005,2,603,0,108,0,0,0,0,0,2,2008,226700
60,7290,1,7,8,1921,1950,174,0,1228,1228,1,1424,0,0,1424,0,0,2,0,2,1,7,1,1921,1,312,0,0,90,0,0,0,0,4,2008,168000
72,10632,1,5,3,1917,1950,0,0,689,689,0,725,499,0,1224,0,0,1,1,3,1,6,0,1917,1,180,0,0,248,0,0,0,0,1,2010,107500
61,10226,1,8,5,2008,2008,270,0,1622,1622,1,1630,0,0,1630,1,0,2,0,3,1,8,1,2008,3,860,172,42,0,0,0,0,0,1,2009,295493
52,6240,1,5,7,1936,1980,0,0,252,528,1,548,492,0,1040,0,0,1,0,2,1,5,0,1979,2,624,306,0,32,0,0,0,0,5,2010,123900
50,6000,1,6,7,1948,1950,0,0,480,780,1,780,636,0,1416,0,0,1,1,3,1,6,0,1948,1,312,221,0,48,0,0,0,0,3,2010,139900
65,7800,1,5,7,1939,1950,0,0,286,793,1,793,325,0,1118,1,0,1,0,3,1,5,1,1939,2,410,0,0,0,0,271,0,0,5,2006,119900
92,9920,1,7,5,1996,1997,0,0,255,1117,1,1127,886,0,2013,1,0,2,1,3,1,8,1,1997,2,455,180,130,0,0,0,0,0,6,2007,269790
59,10690,1,5,7,1920,1997,0,0,216,672,1,672,672,0,1344,0,0,1,0,3,1,6,0,1964,1,468,0,128,218,0,0,0,0,7,2009,147000
86,11194,1,8,5,2008,2008,240,0,1696,1696,1,1696,0,0,1696,0,0,2,0,3,1,7,0,2008,3,972,120,56,0,0,0,0,0,9,2009,275000
71,9187,1,6,5,1983,1983,0,0,748,1084,1,1080,0,0,1080,0,0,1,1,3,1,5,0,1983,2,484,120,0,158,0,0,0,0,6,2007,134000
34,3604,1,7,5,2007,2007,0,0,689,689,1,703,689,0,1392,0,0,2,0,2,1,5,0,2007,2,540,0,102,0,0,0,0,0,2,2008,146000
140,11080,1,6,6,1975,1975,257,0,552,1128,1,1210,0,0,1210,1,0,2,0,3,1,6,0,1975,2,528,0,0,0,0,0,0,0,5,2006,148000
60,7200,1,5,5,1980,1980,180,0,0,936,1,936,0,0,936,1,0,1,0,2,1,4,0,1980,2,672,49,0,0,0,0,0,0,8,2007,140000
58,9487,1,6,5,2000,2000,0,0,395,915,1,940,750,0,1690,1,0,2,1,3,1,7,1,2000,2,442,0,50,0,0,0,0,0,6,2007,187000
